country_of_citizenship;Continent
Afghanistan;Middle East
Albania;Eastern Europe
Algeria;Africa
Andorra;Western Europe
Angola;Africa
Antigua and Barbuda;Caribbean
Argentina;South America
Armenia;Eastern Europe
Aruba;Caribbean
Australia;Australia
Austria;Western Europe
Azerbaijan;Middle East
Bahrain;Middle East
Barbados;Caribbean
Belarus;Eastern Europe
Belgium;Western Europe
Benin;Other
Bermuda;Caribbean
Bolivia;South America
Bosnia-Herzegovina;Eastern Europe
Brazil;South America
Brunei Darussalam;Asia
Bulgaria;Eastern Europe
Burkina Faso;Africa
Burundi;Africa
Cameroon;Africa
Canada;North America
Cape Verde;Africa
Central African Republic;Africa
Chad;Africa
Chile;South America
China;Asia
Chinese Taipei;Asia
Colombia;South America
Comoros;Africa
Congo;Africa
Costa Rica;South America
Cote d'Ivoire;Africa
Croatia;Eastern Europe
Cuba;South America
Curacao;Caribbean
Cyprus;Eastern Europe
Czech Republic;Western Europe
Denmark;Western Europe
Dominican Republic;Caribbean
DR Congo;Africa
Ecuador;South America
Egypt;Africa
El Salvador;South America
England;Western Europe
Equatorial Guinea;Africa
Eritrea;Africa
Estonia;Eastern Europe
Ethiopia;Africa
Faroe Islands;Western Europe
Finland;Western Europe
France;Western Europe
French Guiana;South America
Gabon;Africa
Georgia;Eastern Europe
Germany;Western Europe
Ghana;Africa
Greece;Western Europe
Grenada;Africa
Guadeloupe;Caribbean
Guatemala;South America
Guinea;Asia
Guinea-Bissau;Asia
Guyana;South America
Haiti;Caribbean
Honduras;South America
Hungary;Eastern Europe
Iceland;Western Europe
India;Asia
Indonesia;Asia
Iran;Middle East
Iraq;Middle East
Ireland;Western Europe
Israel;Eastern Europe
Italy;Western Europe
Jamaica;Caribbean
Japan;Asia
Jordan;Middle East
Kazakhstan;Middle East
Kenya;Africa
Korea North;Asia
Korea South;Asia
Kosovo;Eastern Europe
Kyrgyzstan;Middle East
Laos;Asia
Latvia;Eastern Europe
Lebanon;Middle East
Liberia;Africa
Libya;Africa
Liechtenstein;Western Europe
Lithuania;Eastern Europe
Luxembourg;Western Europe
Macao;Asia
Madagascar;Africa
Malawi;Africa
Malaysia;Asia
Mali;Africa
Malta;Western Europe
Martinique;Caribbean
Mauritania;Africa
Mauritius;Africa
Mexico;South America
Moldova;Eastern Europe
Monaco;Western Europe
Montenegro;Eastern Europe
Montserrat;Caribbean
Morocco;Africa
Mozambique;Africa
Netherlands;Western Europe
Neukaledonien;Caribbean
New Zealand;Australia
Nicaragua;South America
Niger;Africa
Nigeria;Africa
North Macedonia;Eastern Europe
Northern Ireland;Western Europe
Norway;Western Europe
null;null
Oman;Middle East
Pakistan;Asia
Palestine;Middle East
Panama;South America
Papua New Guinea;Asia
Paraguay;South America
Peru;South America
Philippines;Asia
Poland;Eastern Europe
Portugal;Western Europe
Qatar;Middle East
R̩union;Africa
Romania;Eastern Europe
Russia;Eastern Europe
Rwanda;Africa
Saint-Martin;Caribbean
San Marino;Western Europe
Sao Tome and Principe;Caribbean
Saudi Arabia;Middle East
Scotland;Western Europe
Senegal;Africa
Serbia;Eastern Europe
Seychelles;Asia
Sierra Leone;Africa
Sint Maarten;Caribbean
Slovakia;Eastern Europe
Slovenia;Eastern Europe
Somalia;Africa
South Africa;Africa
Southern Sudan;Africa
Spain;Western Europe
St. Kitts & Nevis;Caribbean
St. Lucia;Caribbean
Suriname;Caribbean
Sweden;Western Europe
Switzerland;Western Europe
Syria;Middle East
Tahiti;Caribbean
Tajikistan;Middle East
Tanzania;Africa
Thailand;Asia
The Gambia;Africa
Togo;Africa
Trinidad and Tobago;Caribbean
Tunisia;Africa
Turkey;Eastern Europe
Turkmenistan;Middle East
Uganda;Africa
Ukraine;Eastern Europe
United Arab Emirates;Middle East
United States;North America
Uruguay;South America
Uzbekistan;Middle East
Venezuela;South America
Vietnam;Asia
Wales;Western Europe
Zambia;Africa
Zimbabwe;Africa